captured_at_utc,phase,measurement_active,system_used_bytes,process_tree_rss_bytes,gpu_index,gpu_uuid,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,temperature_c,power_draw_w,sm_clock_mhz,memory_clock_mhz
2026-09-07T21:15:30.784936+00:00,measured_16777216,True,3061932032,3111317504,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,243.0,15360.0,94.0,58.0,44.38,1590.0,5000.0
2026-09-07T21:15:31.094250+00:00,warmup_33554432,False,3062931456,3111391232,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,271.0,15360.0,95.0,58.0,45.9,1590.0,5000.0
2026-09-07T21:15:31.094250+00:00,warmup_33554432,False,3062931456,3111391232,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,271.0,15360.0,98.0,59.0,44.65,1590.0,5000.0
2026-09-07T21:15:31.404376+00:00,measured_33554432,True,3055005696,3111395328,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,271.0,15360.0,97.0,58.0,45.64,1590.0,5000.0
2026-09-07T21:15:31.404376+00:00,measured_33554432,True,3055005696,3111395328,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,271.0,15360.0,97.0,59.0,44.28,1590.0,5000.0
2026-09-07T21:15:31.713823+00:00,measured_33554432,True,3055169536,3111399424,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,271.0,15360.0,96.0,58.0,46.0,1590.0,5000.0
2026-09-07T21:15:31.713823+00:00,measured_33554432,True,3055169536,3111399424,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,271.0,15360.0,96.0,59.0,44.36,1590.0,5000.0
2026-09-07T21:15:32.024993+00:00,warmup_67108864,False,3058974720,3111469056,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,96.0,58.0,46.23,1590.0,5000.0
2026-09-07T21:15:32.024993+00:00,warmup_67108864,False,3058974720,3111469056,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,96.0,59.0,45.54,1590.0,5000.0
2026-09-07T21:15:32.334993+00:00,warmup_67108864,False,3058171904,3111608320,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,100.0,59.0,45.9,1590.0,5000.0
2026-09-07T21:15:32.334993+00:00,warmup_67108864,False,3058171904,3111608320,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,100.0,59.0,44.55,1590.0,5000.0
2026-09-07T21:15:32.643434+00:00,measured_67108864,True,3052765184,3111608320,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,98.0,59.0,46.0,1590.0,5000.0
2026-09-07T21:15:32.643434+00:00,measured_67108864,True,3052765184,3111608320,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,98.0,59.0,45.05,1590.0,5000.0
2026-09-07T21:15:32.951831+00:00,measured_67108864,True,3053023232,3111612416,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,98.0,59.0,46.0,1590.0,5000.0
2026-09-07T21:15:32.951831+00:00,measured_67108864,True,3053023232,3111612416,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,98.0,59.0,44.65,1590.0,5000.0
2026-09-07T21:15:33.259981+00:00,measured_67108864,True,3054833664,3111624704,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,98.0,59.0,46.33,1590.0,5000.0
2026-09-07T21:15:33.259981+00:00,measured_67108864,True,3054833664,3111624704,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,97.0,60.0,45.15,1590.0,5000.0
2026-09-07T21:15:33.585268+00:00,measured_67108864,True,3065491456,3111628800,0,GPU-402586f7-0122-74ef-28ef-9d9c58864a48,Tesla T4,335.0,15360.0,98.0,59.0,45.81,1590.0,5000.0
2026-09-07T21:15:33.585268+00:00,measured_67108864,True,3065491456,3111628800,1,GPU-1c3d83bb-e61f-6723-2bf6-f01f4d191540,Tesla T4,335.0,15360.0,97.0,60.0,44.55,1590.0,5000.0
