model_id,model_revision,workload,concurrency,tp,repetitions,maximum_vram_mib_mean,maximum_system_ram_bytes_mean,gpu_utilization_percent_mean,mean_power_w,maximum_temperature_c_mean,request_failures_mean,oom_repetitions,resource_boundary_repetitions
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,1,1,5,13597.0,5716792115.2,34.97146866145972,39.403522940201654,76.4,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,1,2,5,13739.0,7725208371.2,34.54015642391544,38.53076620493225,80.8,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,4,1,5,13597.0,5273914572.8,21.93025728613264,32.11916730387233,74.6,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,4,2,5,13739.0,7727571763.2,19.3732115004643,29.232699968427266,75.0,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,8,1,5,13597.0,5283122380.8,19.056592390824584,30.033323894983766,73.4,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,8,2,5,13739.0,7704369561.6,15.543086797936965,26.901564876389216,72.4,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,16,1,5,13659.0,5296027238.4,22.450983974449137,30.91213184822265,72.6,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,16,2,5,13739.0,7674613760.0,16.900249895883938,27.94503457247768,73.2,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,32,1,5,13661.0,5239717888.0,29.085952191883912,33.35433759956267,74.2,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,32,2,5,13739.0,7663181004.8,19.41297916808765,29.89300439886723,75.8,0.0,0,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,short,64,1,5,13661.0,5236273152.0,37.669747421439055,38.076810036051576,79.0,0.0,0,0
