model_id,model_revision,workload,concurrency,repetitions,paired_performance_repetitions,tp1_output_tokens_per_second,tp2_output_tokens_per_second,tp2_over_tp1_speedup,tp1_ttft_ms,tp2_ttft_ms,tp1_tpot_ms,tp2_tpot_ms,tp1_itl_ms,tp2_itl_ms,tp1_e2e_latency_ms,tp2_e2e_latency_ms,tp1_maximum_vram_mib,tp2_maximum_vram_mib,tp1_gpu_utilization_percent,tp2_gpu_utilization_percent,tp1_oom_repetitions,tp2_oom_repetitions,tp1_failed_repetitions,tp2_failed_repetitions,tp1_resource_boundary_repetitions,tp2_resource_boundary_repetitions,classifications
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,8,5,5,147.6064104846217,139.84936520063562,0.9482363622997555,1170.7566426583658,751.0850140666814,49.6340775783333,54.180116281241716,49.632518632853284,54.18591335938286,13827.446425133356,14567.01466578332,13673.0,13723.0,50.3037009058347,32.285431852124404,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,16,5,5,204.24316393240167,260.1166328880474,1.2742594937784748,1957.6205044416972,1188.4748275875106,70.7265790024999,56.873923941682996,70.71274994440054,56.87140796653606,19992.89815007917,15691.325432716674,13673.0,13723.0,58.1095231122571,37.11610139231751,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,32,5,5,257.21587658698576,436.3127284859056,1.6970608537985723,2900.482880174984,1771.5515649958556,113.12320702246734,66.27532827227114,113.08408157549601,66.26064690752631,31746.900670904153,18671.760274424996,13673.4,13723.0,69.35592241597415,47.93182013272987,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,balanced,64,5,5,314.7110805327928,535.2737706726136,1.7013767132347977,4364.303494896881,2632.130828400007,186.1335526480923,108.97013237656454,185.86463904699124,108.79857502981834,51828.359420160414,30419.514584423967,13673.0,13723.0,79.16824529756644,59.62892630706165,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,1,5,5,20.923519999357207,17.299354053753518,0.8274113892626417,1576.9357776700224,907.8898923899987,35.756004026850306,51.167720925748114,35.7550507693702,51.17428283231102,6117.948289080012,7406.190449960009,13673.0,13723.0,65.60349521865584,46.762836619809754,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,4,5,5,37.44118059850015,49.93924183276317,1.3342470218199685,4313.140711349964,2221.8710609799973,73.4712953170869,62.96876893196861,73.47000769188983,62.96748671590566,13643.99521662,10218.904715340012,13673.0,13723.0,59.203370008478394,37.2529352062444,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,8,5,5,43.97491830340694,74.81431280806696,1.7015976545081102,6441.143107150007,3490.1590390916754,131.91474060170574,79.57443284586604,131.9132238905508,79.6086865721914,23194.315163566636,13596.112010516666,13673.0,13723.0,62.229705657817604,39.215995823136595,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,16,5,5,48.34926750421824,90.06120140644303,1.8628403952175876,9404.780884025018,5042.195601462501,257.8845813322506,138.11201254133883,257.959051952037,138.15004172387268,42156.12271322085,22582.421194212533,13675.0,13725.0,75.29054793204286,53.35583931696992,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,32,5,5,47.765072854208846,94.8339689490757,1.9852522053698753,17609.8313063229,7783.297050849988,515.9132017703084,276.0094176570049,515.8002153173592,276.0012607550485,83130.80793115207,42836.49309328961,13675.0,13723.0,86.27714588964312,69.0396728501575,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,prefill_heavy,64,5,5,48.64415588661522,98.03527186006849,2.0152266398595406,87599.3779159531,13310.202009736464,536.6986722661829,545.3010402706283,536.411064327044,545.1696023082449,155760.10929375832,82563.43412410625,13675.0,13725.0,92.55458496650185,81.11934478714734,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,1,5,5,25.700237171871994,19.679009154270883,0.9239766715773673,74.07511290002276,58.910170860003745,46.61631226349245,50.66461747730126,46.614436940476914,50.66219988809475,3010.9027855000477,3250.7810719299837,13611.0,13725.0,43.68395813469469,29.65797999972973,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,4,5,5,113.50489788943325,74.75043396193018,0.6587668458575443,177.14590406007346,166.61993907996703,32.53415145380886,51.31930115761911,32.52954337111045,51.31594281174622,2226.7974456500315,3399.735912009971,13611.0,13725.0,20.70900940963021,15.618566062688583,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,8,5,5,193.53577445299192,145.84851971942095,0.7536407255852962,322.6765081916502,237.7455334667104,35.97807744312182,51.34028457301601,35.96979658478819,51.33709232288309,2589.295387108325,3472.183461566719,13611.0,13724.6,17.6211689978906,12.281968455493418,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,16,5,5,302.6841419745097,270.82753803887033,0.8952104577554009,579.2865979999988,445.28002188753726,43.737026193518744,52.220674299800976,43.72007553088597,52.213219174867376,3334.71924819168,3735.182502774999,13673.0,13725.0,21.030213458695247,13.747353875735413,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,32,5,5,418.2419601045393,479.5784600654771,1.147040143320244,940.7104165312367,670.1054360958153,61.917651498181485,56.24786581408762,61.90530842628999,56.239173738062526,4841.522460916671,4213.7209823833355,13675.0,13725.0,27.554655216027633,16.215709006209995,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,short,64,5,5,555.0408999448543,822.1784270032382,1.4845117371526233,1541.0214165000077,1011.8811592051983,91.53399457766206,61.69200737088308,91.51888212187515,61.673241588938595,7307.663074892717,4898.477623570832,13675.0,13725.0,35.85098637405713,19.88204971572619,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,1,5,5,20.41359394061662,12.488902087923492,0.6141872698835252,264.0946083599772,196.03810963999308,48.4294216614511,79.92756129105891,48.428935833058844,79.92987041442926,12613.597132030007,20577.566238860014,13597.0,13737.0,62.81839270235383,52.70107176206585,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,4,5,5,75.91774442376193,47.48777161116611,0.6254604424692644,826.7519626600027,604.7231485299744,49.61398926247047,82.29902071517657,49.612811905215686,82.29795541152937,13478.319224589974,21590.973430899998,13597.0,13737.0,56.248757456185885,41.45513048224426,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,8,5,5,120.49194132940943,94.04592528192974,0.7807443142030598,1462.4895560833238,887.3003043666964,60.71155025160131,81.802626862451,60.71033138267969,81.80160884673207,16943.934870241657,21746.970154291703,13661.0,13737.0,53.656591015908454,37.36395282348861,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,16,5,5,169.87467872651027,176.43181485908224,1.0387929656591708,2382.3607708416794,1400.56395832497,84.90588575880724,85.47076696214057,84.90416651189541,85.46965966617655,24033.361639337527,23195.609533670817,13661.0,13737.0,62.222792976937626,41.73251775890089,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,32,5,5,215.33513004843434,315.74303372859225,1.465558547596422,3465.985033324978,2152.448430958313,135.11466879335785,93.09566064795752,135.1124396747794,93.09378803414212,37920.22557563123,25891.841896187478,13661.4,13738.2,72.27744685604216,51.164976852177354,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,balanced,64,5,5,251.6942203831812,447.1194470225411,1.7772633659684083,5276.8941996510275,3168.203744727074,225.8469383516299,130.25151298328836,225.84361269221003,130.2472624401308,62867.86347931666,36382.3395554656,13663.0,13737.0,81.3045459729809,63.13866256708044,0,0,0,0,0,0,THROUGHPUT_CROSSOVER;LATENCY_CROSSOVER
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,prefill_heavy,1,5,5,16.437914250396492,11.54502398082953,0.701782594354962,1869.5426650900085,1095.5431687100008,46.68943052535419,79.08098840409443,46.746950845884406,79.17922387629895,7799.100341809989,11138.828696029994,13661.0,13737.0,65.37982396879282,49.86197966917887,0,0,0,0,0,0,NO_CROSSOVER_OBSERVED
